time,x,u
1.500000000000000000e+00,8.400000000000002132e+00,4.000000000000000222e-01
1.500000000000000000e+00,8.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,8.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,9.000000000000000000e+00,4.000000000000000222e-01
1.500000000000000000e+00,9.200000000000002842e+00,4.000000000000000222e-01
1.500000000000000000e+00,9.400000000000002132e+00,4.000000000000000222e-01
1.500000000000000000e+00,9.600000000000001421e+00,4.000000000000000222e-01
1.500000000000000000e+00,9.800000000000000711e+00,4.000000000000000222e-01
1.500000000000000000e+00,1.000000000000000000e+01,4.000000000000000222e-01
1.750000000000000000e+00,-1.000000000000000000e+01,2.000000000000000111e-01
1.750000000000000000e+00,-9.800000000000000711e+00,2.000000000000000111e-01
1.750000000000000000e+00,-9.599999999999999645e+00,2.000000000000000111e-01
1.750000000000000000e+00,-9.400000000000000355e+00,2.000000000000000111e-01
1.750000000000000000e+00,-9.199999999999999289e+00,2.000000000000000111e-01
1.750000000000000000e+00,-9.000000000000000000e+00,2.000000000000000111e-01
1.750000000000000000e+00,-8.800000000000000711e+00,2.000000000000000111e-01
1.750000000000000000e+00,-8.599999999999999645e+00,2.000000000000000111e-01
1.750000000000000000e+00,-8.400000000000000355e+00,2.000000000000000111e-01
1.750000000000000000e+00,-8.199999999999999289e+00,2.000000000000000111e-01
1.750000000000000000e+00,-8.000000000000000000e+00,2.000000000000000111e-01
1.750000000000000000e+00,-7.799999999999999822e+00,2.000000000000000111e-01
1.750000000000000000e+00,-7.599999999999999645e+00,2.000000000000000111e-01
1.750000000000000000e+00,-7.400000000000000355e+00,2.000000000000000111e-01
1.750000000000000000e+00,-7.199999999999999289e+00,2.000000000000000111e-01
1.750000000000000000e+00,-7.000000000000000000e+00,2.000000000000000111e-01
1.750000000000000000e+00,-6.799999999999999822e+00,2.000000000000000111e-01
1.750000000000000000e+00,-6.599999999999999645e+00,2.000000000000000111e-01
